Chla	CPHL_SOURCE	CPHL_comment	DEPH	Latitude	Longitude	MNDEP	month	MS_CD	MXDEP	POSITION	sali	SAMPLE_ID	Date	Station	STATUS	Time	WB_ID	station_depth	WB_name	WATER_DISTRICT_NAME	WATER_TYPE_AREA	type_code	year	new_index	index_column
1.7	CPHL_BTL	Expert judgement. Not integrated sample	2.5	63.69367	20.52083		6	WA82865410		63.69_20.52	3.6	2007_6121_7798	2007-06-04	UKV1	GOOD		SE633550-200700	20.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2007	102064_SE633550-200700	102064
2.8	CPHL_BTL	Expert judgement. Not integrated sample	2.5	63.69367	20.52083		7	WA82865410		63.69_20.52	2.6999999999999997	2007_6125_7798	2007-07-12	UKV1	MODERATE		SE633550-200700	20.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2007	101137_SE633550-200700	101137
3.1	CPHL_BTL	Expert judgement. Not integrated sample	2.5	63.69367	20.52083		8	WA82865410		63.69_20.52	3.5	2007_6132_7798	2007-08-13	UKV1	MODERATE		SE633550-200700	20.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2007	100298_SE633550-200700	100298
1.8	CPHL_BTL	Expert judgement. Not integrated sample	2.5	63.69367	20.52083		7	WA82865410		63.69_20.52	3.0666666666666664	2008_6122_7798	2008-07-17	UKV1	GOOD		SE633550-200700	20.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2008	92337_SE633550-200700	92337
2.0	CPHL_BTL	Expert judgement. Not integrated sample	2.5	63.69367	20.52083		8	WA82865410		63.69_20.52	3.5	2008_6130_7798	2008-08-08	UKV1	MODERATE		SE633550-200700	23.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2008	91817_SE633550-200700	91817
2.1	CPHL_BTL	Expert judgement. Not integrated sample	2.5	63.69367	20.52083		7	WA82865410		63.69_20.52	2.2333333333333334	2009_6119_7798	2009-07-16	UKV1	MODERATE		SE633550-200700	25.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2009	82628_SE633550-200700	82628
2.1	CPHL_BTL	Expert judgement. Not integrated sample	2.5	63.69367	20.52083		8	WA82865410		63.69_20.52	3.1666666666666665	2009_6124_7798	2009-08-14	UKV1	MODERATE		SE633550-200700	23.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2009	81553_SE633550-200700	81553
2.1	CPHL_BTL	Expert judgement. Not integrated sample	0.5	63.69367	20.52083		6	WA82865410		63.69_20.52	2.7	2010_6117_7798	2010-06-02	UKV1	MODERATE		SE633550-200700	24.05185185185185	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2010	75308_SE633550-200700	75308
5.7	CPHL_BTL	Expert judgement. Not integrated sample	0.5	63.69367	20.52083		6	WA82865410		63.69_20.52	2.7	2010_6121_7798	2010-06-24	UKV1	POOR		SE633550-200700	24.05185185185185	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2010	74565_SE633550-200700	74565
1.9	CPHL_BTL	Expert judgement. Not integrated sample	0.5	63.69367	20.52083		8	WA82865410		63.69_20.52	3.1	2010_6129_7798	2010-08-26	UKV1	GOOD		SE633550-200700	24.05185185185185	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2010	71955_SE633550-200700	71955
