Date	year	month	Station	Latitude	Longitude	WB_ID	WB_name	WATER_DISTRICT_NAME	WATER_TYPE_AREA	MS_CD	biovol	sali	Time	POSITION	station_depth	SAMPLE_ID	MNDEP	MXDEP	DEPH	BIOV_comment	B	type_code	STATUS	new_index	index_column
2014-06-22	2014	6	UKV2	63.40220	20.20000	SE633550-200700	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	WA82865410	0.3095770905			63.40_20.20	11.5	5345a32cee323ad29156dbc24c21045d	0.0	10.0		Expert judgement. This is not true surface sample	0.3095770905	21	GOOD	108013_SE633550-200700	108013
2014-07-09	2014	7	UKV2	63.40220	20.20000	SE633550-200700	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	WA82865410	0.397818423			63.40_20.20	12.0	f12395ff8b5a577682fb9a0612c2db6e	0.0	10.0			0.397818423	21	MODERATE	107996_SE633550-200700	107996
2014-08-25	2014	8	UKV2	63.40220	20.20000	SE633550-200700	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	WA82865410	0.31884836180000004			63.40_20.20	12.0	e8cacdd27b709b339cf3465519326850	0.0	10.0			0.31884836180000004	21	GOOD	107944_SE633550-200700	107944
2011-07-07	2011	7	DJUPSUNDSVIKEN 3	63.68700	20.37767	SE636570-203590	Fjärdgrundsområdet sek namn	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA39177335	0.09537809318			63.69_20.38	2.0	2102b20520f90357a56d3cdacecfd083	0.0	2.0			0.09537809318	20	HIGH	105632_SE636570-203590	105632
2011-07-21	2011	7	DJUPSUNDSVIKEN 4	63.68600	20.37783	SE636570-203590	Fjärdgrundsområdet sek namn	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA39177335	0.26123150219999997			63.69_20.38	4.0	44131fe802bacfa68fcd95a1316c6981	0.0	3.0		Expert judgement. This is not true surface sample	0.26123150219999997	20	GOOD	105612_SE636570-203590	105612
2011-08-03	2011	8	DJUPSUNDSVIKEN 5	63.68750	20.37900	SE636570-203590	Fjärdgrundsområdet sek namn	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA39177335	0.16686875279999996			63.69_20.38	2.0	056eb83ee21c501eb6cddd1aebf711a4	0.0	2.0			0.16686875279999996	20	HIGH	105553_SE636570-203590	105553
2008-07-03	2008	7	FJÄRDGRUNDOMRÅDET	63.64733	20.36900	SE636570-203590	Fjärdgrundsområdet sek namn	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA39177335	0.19541714628999998			63.65_20.37	26.0	3ea31b8a49c3a7cb5016e0bc1ea26034	0.0	10.0			0.19541714628999998	20	HIGH	106706_SE636570-203590	106706
2008-07-17	2008	7	FJÄRDGRUNDOMRÅDET	63.64733	20.36900	SE636570-203590	Fjärdgrundsområdet sek namn	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA39177335	0.6028286902			63.65_20.37	26.0	fc4d8149da4dd955f3120a99882ea424	0.0	10.0			0.6028286902	20	MODERATE	106674_SE636570-203590	106674
2008-08-11	2008	8	FJÄRDGRUNDOMRÅDET	63.64733	20.36900	SE636570-203590	Fjärdgrundsområdet sek namn	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA39177335	0.2742611505			63.65_20.37	26.0	4d3b08e2cdcd8d924ef1ed3a1631de20	0.0	10.0			0.2742611505	20	GOOD	106657_SE636570-203590	106657
2011-08-03	2011	8	FJÄRDGRUNDSOMRÅDET SEK NAMN 10	63.65850	20.33983	SE636570-203590	Fjärdgrundsområdet sek namn	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA39177335	0.1225275987			63.66_20.34	11.0	43fdb5a4a1ffcb27fb834345ce629b2f	0.0	10.0		Expert judgement. This is not true surface sample	0.1225275987	20	HIGH	105554_SE636570-203590	105554
2011-07-06	2011	7	FJÄRDGRUNDSOMRÅDET SEK NAMN 5	63.64717	20.35050	SE636570-203590	Fjärdgrundsområdet sek namn	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA39177335	0.1702086356			63.65_20.35	18.0	06eb511d15c4c134ebd8791ca23a2477	0.0	10.0			0.1702086356	20	HIGH	105641_SE636570-203590	105641
2011-07-06	2011	7	FJÄRDGRUNDSOMRÅDET SEK NAMN 6	63.67450	20.32900	SE636570-203590	Fjärdgrundsområdet sek namn	Bottenvikens vattendistrikt	20 - Norra Kvarkens inre kustvatten	WA39177335	0.25136293465			63.67_20.33	15.0	760a8ab206f56f8b4d669ae15f3ab0ce	0.0	10.0			0.25136293465	20	GOOD	105642_SE636570-203590	105642
