BQI	DEPH	Latitude	Longitude	MNDEP	month	MS_CD	MXDEP	POSITION	SAMPLE_ID	Date	Institution	Station	Time	WB_ID	station_depth	WB_name	WATER_DISTRICT_NAME	WATER_TYPE_AREA	type_code	year	new_index	index_column
6.81574	46.0	63.43753	20.05053	46.0	5	WA82865410	46.0	63.44_20.05	521fc5335f6ef778b2eb3cf04face658	2017-05-11	Umeå Universitet	N 15		SE633550-200700	45.1	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2017	109001_SE633550-200700	109001
5.35563	51.8	63.40020	19.97752	51.8	5	WA82865410	51.8	63.40_19.98	de47cc7a5cc73238a3cd1f4e379fce67	2017-05-11	Umeå Universitet	N 17		SE633550-200700	51.4	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2017	109002_SE633550-200700	109002
4.05723	86.0	63.41690	20.11307	86.0	5	WA82865410	86.0	63.42_20.11	a0df72b8926db720706c876afcc40cb1	2017-05-11	Umeå Universitet	N 24		SE633550-200700	86.2	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2017	109005_SE633550-200700	109005
4.02411	48.8	63.41355	19.85180	48.8	5	WA82865410	48.8	63.41_19.85	bfdc8f4e95cf17afea63c33b4d90a30f	2017-05-09	Umeå Universitet	N 16		SE633550-200700	48.1	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2017	109021_SE633550-200700	109021
4.86801	64.2	63.38923	19.85745	64.2	5	WA82865410	64.2	63.39_19.86	c4249175ad069cfd49436787001f57ad	2017-05-09	Umeå Universitet	N 22		SE633550-200700	64.0	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2017	109022_SE633550-200700	109022
2.9741	40.5	63.60897	20.73668	40.5	6	WA82865410	40.5	63.61_20.74	5c3af7282e6e17ff2ba39361743e1e11	2016-06-23	Umeå Universitet	HO 1		SE633550-200700	40.5	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2016	109025_SE633550-200700	109025
5.61416	31.8	63.64143	20.75387	31.8	6	WA82865410	31.8	63.64_20.75	2d4f1ddbba05b6fc435a46a4a9b07d68	2016-06-23	Umeå Universitet	HO 2		SE633550-200700	31.8	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2016	109027_SE633550-200700	109027
3.91678	42.8	63.56737	20.72160	42.8	6	WA82865410	42.8	63.57_20.72	d5473ff4d71f39500d3025cbb90397d3	2016-06-23	Umeå Universitet	HO 28		SE633550-200700	42.8	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2016	109028_SE633550-200700	109028
4.29306	38.5	63.69048	20.78810	38.5	6	WA82865410	38.5	63.69_20.79	f6b41a7e91385826833754a1a2345e28	2016-06-23	Umeå Universitet	HO 4		SE633550-200700	38.5	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2016	109029_SE633550-200700	109029
7.45501	15.6	63.72885	20.85193	15.6	6	WA82865410	15.6	63.73_20.85	df210827ef398c8c9122bc46fb391548	2016-06-16	Umeå Universitet	HO 7		SE633550-200700	15.6	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2016	109052_SE633550-200700	109052
3.05338	48.4	63.41362	19.85230	48.4	6	WA82865410	48.4	63.41_19.85	e451d3727bf36bc6954594ab44677bb8	2015-06-10	Umeå Universitet	N 16		SE633550-200700	48.4	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2015	109721_SE633550-200700	109721
5.00909	51.4	63.40028	19.97670	51.4	6	WA82865410	51.4	63.40_19.98	63377141a1fd594110a8c00f5bee7ac1	2015-06-10	Umeå Universitet	N 17		SE633550-200700	51.4	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2015	109722_SE633550-200700	109722
3.10391	64.2	63.38927	19.85763	64.2	6	WA82865410	64.2	63.39_19.86	64fc9f9ecebcb5a23d982525881adbfc	2015-06-10	Umeå Universitet	N 22		SE633550-200700	64.2	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2015	109724_SE633550-200700	109724
4.29531	86.4	63.41692	20.11232	86.4	6	WA82865410	86.4	63.42_20.11	9fbca78d49b052797ca3dac7d4b3970a	2015-06-10	Umeå Universitet	N 24		SE633550-200700	86.4	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2015	109726_SE633550-200700	109726
4.57865	45.4	63.43752	20.04992	45.4	5	WA82865410	45.4	63.44_20.05	8b910a0066f9d60b83cc6e58ce83e533	2015-05-13	Umeå Universitet	N 15		SE633550-200700	45.4	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2015	110060_SE633550-200700	110060
4.64017	88.5	63.41680	20.11230	88.5	6	WA82865410	88.5	63.42_20.11	e549a109cb87699e9267679f8efa39ad	2014-06-03	Umeå Universitet	N 24		SE633550-200700	88.5	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2014	110245_SE633550-200700	110245
4.602	88.5	63.41680	20.11230	88.5	6	WA82865410	88.5	63.42_20.11	c14ac0541ed4c5cfde5d702d77caf3fb	2014-06-03	Umeå Universitet	N 24		SE633550-200700	88.5	S n Kvarkens kustvatten	Bottenvikens vattendistrikt	21 - Norra Kvarkens yttre kustvatten	21	2014	110246_SE633550-200700	110246
